Date,Adj Close 
2026-05-06,99.19
2026-05-05,98.77
2026-05-04,98.59
2026-05-01,98.9
2026-04-30,98.77
2026-04-29,98.63
2026-04-28,99.07
2026-04-27,99.11
2026-04-24,99.26
2026-04-23,99.12
2026-04-22,99.28
2026-04-21,99.14
2026-04-20,99.51
2026-04-17,99.52
2026-04-16,99.15
2026-04-15,99.29
2026-04-14,99.45
2026-04-13,99.19
2026-04-10,98.99
2026-04-09,99.16
2026-04-08,99.1
2026-04-07,98.84
2026-04-06,98.72
2026-04-02,98.9
2026-04-01,98.67
2026-03-31,98.6
2026-03-30,98.38
2026-03-27,97.88
2026-03-26,97.89
2026-03-25,98.44
2026-03-24,98.1
2026-03-23,98.37
2026-03-20,98
2026-03-19,98.82
2026-03-18,98.71
2026-03-17,99.13
2026-03-16,98.93
2026-03-13,98.54
2026-03-12,98.62
2026-03-11,98.99
2026-03-10,99.44
2026-03-09,99.77
2026-03-06,99.45
2026-03-05,99.57
2026-03-04,99.86
2026-03-03,99.89
2026-03-02,100
2026-02-27,100.41
2026-02-26,100.21
2026-02-25,100.05
2026-02-24,100.1
2026-02-23,100.11
2026-02-20,99.91
2026-02-19,99.89
2026-02-18,99.87
2026-02-17,100.01
2026-02-13,100
2026-02-12,99.68
2026-02-11,99.24
2026-02-10,99.46
2026-02-09,99.18
2026-02-06,99.15
2026-02-05,99.09
2026-02-04,98.66
2026-02-03,98.72
2026-02-02,98.71
2026-01-30,98.83
2026-01-29,98.85
2026-01-28,98.85
2026-01-27,98.89
2026-01-26,98.95
2026-01-23,98.81
2026-01-22,98.72
2026-01-21,98.7
2026-01-20,98.37
2026-01-16,98.75
2026-01-15,98.91
2026-01-14,99.04
2026-01-13,98.9
2026-01-12,98.81
2026-01-09,98.86
2026-01-08,98.64
2026-01-07,98.82
2026-01-06,98.72
2026-01-05,98.74
2026-01-02,98.55
2025-12-31,98.58
2025-12-30,98.82
2025-12-29,98.86
2025-12-26,98.74
2025-12-24,98.72
2025-12-23,98.5
2025-12-22,98.5
2025-12-19,98.54
2025-12-18,98.68
2025-12-17,98.44
2025-12-16,98.47
2025-12-15,98.28
2025-12-12,98.18
2025-12-11,98.49
2025-12-10,98.47
2025-12-09,98.15
2025-12-08,98.24
2025-12-05,98.4
2025-12-04,98.51
2025-12-03,98.74
2025-12-02,98.56
2025-12-01,98.43
2025-11-28,98.86
2025-11-26,98.99
2025-11-25,98.84
2025-11-24,98.68
2025-11-21,98.48
2025-11-20,98.25
2025-11-19,98.13
2025-11-18,98.13
2025-11-17,98.07
2025-11-14,98.05
2025-11-13,98.17
2025-11-12,98.46
2025-11-11,98.5
2025-11-10,98.21
2025-11-07,98.25
2025-11-06,98.29
2025-11-05,97.92
2025-11-04,98.19
2025-11-03,98.14
2025-10-31,98.26
2025-10-30,98.32
2025-10-29,98.5
2025-10-28,98.97
2025-10-27,98.91
2025-10-24,98.85
2025-10-23,98.75
2025-10-22,98.92
2025-10-21,98.93
2025-10-20,98.84
2025-10-17,98.67
2025-10-16,98.81
2025-10-15,98.46
2025-10-14,98.49
2025-10-13,98.34
2025-10-10,98.15
2025-10-09,97.75
2025-10-08,97.87
2025-10-07,97.86
2025-10-06,97.69
2025-10-03,97.91
2025-10-02,98.02
2025-10-01,97.91
2025-09-30,97.66
2025-09-29,97.67
2025-09-26,97.48
2025-09-25,97.42
2025-09-24,97.55
2025-09-23,97.74
2025-09-22,97.58
2025-09-19,97.7
2025-09-18,97.7
2025-09-17,97.97
2025-09-16,98.15
2025-09-15,98.11
2025-09-12,97.94
2025-09-11,98.03
2025-09-10,97.84
2025-09-09,97.65
2025-09-08,97.84
2025-09-05,97.51
2025-09-04,97.05
2025-09-03,96.67
2025-09-02,96.31
2025-08-29,96.57
2025-08-28,96.7
2025-08-27,96.58
2025-08-26,96.48
2025-08-25,96.37
2025-08-22,96.51
2025-08-21,95.98
2025-08-20,96.2
2025-08-19,96.14
2025-08-18,95.96
2025-08-15,96.07
2025-08-14,96.21
2025-08-13,96.48
2025-08-12,96.13
2025-08-11,96.13
2025-08-08,96.07
2025-08-07,96.25
2025-08-06,96.33
2025-08-05,96.37
2025-08-04,96.34
2025-08-01,96.26
2025-07-31,95.43
2025-07-30,95.39
2025-07-29,95.66
2025-07-28,95.14
2025-07-25,95.27
2025-07-24,95.12
2025-07-23,95.17
2025-07-22,95.39
2025-07-21,95.2
2025-07-18,94.94
2025-07-17,94.77
2025-07-16,94.73
2025-07-15,94.59
2025-07-14,94.87
2025-07-11,94.88
2025-07-10,95.28
2025-07-09,95.31
2025-07-08,94.91
2025-07-07,94.95
2025-07-03,95.29
2025-07-02,95.48
2025-07-01,95.6
2025-06-30,95.69
2025-06-27,95.3
2025-06-26,95.57
2025-06-25,95.31
2025-06-24,95.32
2025-06-23,94.93
2025-06-20,94.74
2025-06-18,94.66
2025-06-17,94.59
2025-06-16,94.3
2025-06-13,94.49
2025-06-12,94.83
2025-06-11,94.48
2025-06-10,94.16
2025-06-09,93.95
2025-06-06,93.84
2025-06-05,94.32
2025-06-04,94.56
2025-06-03,94
2025-06-02,94.07
2025-05-30,94.31
2025-05-29,94.08
2025-05-28,93.74
2025-05-27,93.91
2025-05-23,93.49
2025-05-22,93.35
2025-05-21,93.08
2025-05-20,93.7
2025-05-19,93.86
2025-05-16,93.89
2025-05-15,93.83
2025-05-14,93.31
2025-05-13,93.57
2025-05-12,93.67
2025-05-09,93.99
2025-05-08,93.89
2025-05-07,94.38
2025-05-06,94.24
2025-05-05,94.01
2025-05-02,94.17
2025-05-01,94.63
2025-04-30,94.89
2025-04-29,94.98
2025-04-28,94.75
2025-04-25,94.49
2025-04-24,94.14
